Date,Close,Return_next,Predicted_Close_next,Predicted_Return_next,Signal
04-Jan-16,24551.170000,0.005348,24551.935555,0.000031,HOLD
05-Jan-16,24682.480000,-0.000207,24704.664515,0.000899,HOLD
06-Jan-16,24677.370000,0.011159,24694.223486,0.000683,HOLD
07-Jan-16,24952.740000,0.013330,24987.192710,0.001381,BUY
08-Jan-16,25285.370000,0.001784,25321.347764,0.001423,BUY
11-Jan-16,25330.490000,0.000279,25321.287762,-0.000363,HOLD
12-Jan-16,25337.560000,-0.014649,25323.967837,-0.000536,HOLD
13-Jan-16,24966.400000,-0.002641,24932.286683,-0.001366,SELL
14-Jan-16,24900.460000,0.017595,24895.257016,-0.000209,HOLD
15-Jan-16,25338.580000,0.000129,25354.794498,0.000640,HOLD
18-Jan-16,25341.860000,-0.002850,25339.487734,-0.000094,HOLD
19-Jan-16,25269.640000,0.005145,25258.566778,-0.000438,HOLD
20-Jan-16,25399.650000,-0.020318,25398.802772,-0.000033,HOLD
21-Jan-16,24883.590000,0.000685,24854.921007,-0.001152,SELL
22-Jan-16,24900.630000,-0.008643,24891.126183,-0.000382,HOLD
25-Jan-16,24685.420000,-0.000469,24664.889107,-0.000832,HOLD
27-Jan-16,24673.840000,0.014117,24670.474250,-0.000136,HOLD
28-Jan-16,25022.160000,0.004933,25024.133350,0.000079,HOLD
29-Jan-16,25145.590000,0.019135,25152.907705,0.000291,HOLD
01-Feb-16,25626.750000,0.007399,25647.303660,0.000802,HOLD
02-Feb-16,25816.360000,0.001078,25790.644063,-0.000996,HOLD
03-Feb-16,25844.180000,0.001401,25805.230213,-0.001507,SELL
04-Feb-16,25880.380000,-0.001632,25842.504857,-0.001463,SELL
05-Feb-16,25838.140000,-0.006162,25797.246533,-0.001583,SELL
08-Feb-16,25678.930000,0.012788,25628.852489,-0.001950,SELL
09-Feb-16,26007.300000,0.002185,26016.229551,0.000343,HOLD
10-Feb-16,26064.120000,-0.017688,26057.393453,-0.000258,HOLD
11-Feb-16,25603.100000,0.000137,25571.815256,-0.001222,SELL
12-Feb-16,25606.620000,-0.006625,25608.313938,0.000066,HOLD
15-Feb-16,25436.970000,-0.008148,25427.276336,-0.000381,HOLD
16-Feb-16,25229.700000,-0.005072,25239.579603,0.000392,HOLD
17-Feb-16,25101.730000,0.006393,25102.277848,0.000022,HOLD
18-Feb-16,25262.210000,-0.001334,25286.788492,0.000973,HOLD
19-Feb-16,25228.500000,0.018248,25225.507651,-0.000119,HOLD
22-Feb-16,25688.860000,0.003257,25724.767627,0.001398,BUY
23-Feb-16,25772.530000,-0.006810,25774.815035,0.000089,HOLD
24-Feb-16,25597.020000,0.007548,25590.593792,-0.000251,HOLD
25-Feb-16,25790.220000,-0.011658,25780.620165,-0.000372,HOLD
26-Feb-16,25489.570000,0.006421,25451.753851,-0.001484,SELL
29-Feb-16,25653.230000,0.004693,25637.671509,-0.000606,HOLD
01-Mar-16,25773.610000,-0.002677,25780.054486,0.000250,HOLD
02-Mar-16,25704.610000,-0.011861,25695.980298,-0.000336,HOLD
03-Mar-16,25399.720000,-0.003851,25382.776229,-0.000667,HOLD
04-Mar-16,25301.900000,-0.002827,25309.033582,0.000282,HOLD
08-Mar-16,25230.360000,0.002977,25236.873196,0.000258,HOLD
09-Mar-16,25305.470000,0.022750,25317.835037,0.000489,HOLD
10-Mar-16,25881.170000,0.018759,25931.089826,0.001929,BUY
11-Mar-16,26366.680000,0.010882,26400.407433,0.001279,BUY
14-Mar-16,26653.600000,0.002701,26674.226060,0.000774,HOLD
15-Mar-16,26725.600000,-0.002157,26720.487754,-0.000191,HOLD
16-Mar-16,26667.960000,0.001724,26637.232707,-0.001152,SELL
17-Mar-16,26713.930000,0.004837,26707.969061,-0.000223,HOLD
18-Mar-16,26843.140000,-0.000004,26838.102379,-0.000188,HOLD
21-Mar-16,26843.030000,-0.002443,26836.266367,-0.000252,HOLD
22-Mar-16,26777.450000,0.008672,26770.974946,-0.000242,HOLD
23-Mar-16,27009.670000,0.000407,27046.196857,0.001352,BUY
28-Mar-16,27020.660000,-0.009519,27036.476210,0.000585,HOLD
29-Mar-16,26763.460000,-0.004772,26764.996843,0.000057,HOLD
30-Mar-16,26635.750000,-0.008972,26668.011664,0.001211,BUY
31-Mar-16,26396.770000,-0.000040,26396.385251,-0.000015,HOLD
01-Apr-16,26395.710000,0.012526,26398.807721,0.000117,HOLD
04-Apr-16,26726.340000,-0.007516,26761.239779,0.001306,BUY
05-Apr-16,26525.460000,0.003787,26516.250374,-0.000347,HOLD
06-Apr-16,26625.910000,0.009052,26637.235117,0.000425,HOLD
07-Apr-16,26866.920000,-0.002015,26902.017853,0.001306,BUY
08-Apr-16,26812.780000,-0.001758,26806.992944,-0.000216,HOLD
11-Apr-16,26765.650000,0.008839,26756.641641,-0.000337,HOLD
12-Apr-16,27002.220000,-0.022387,27017.695488,0.000573,HOLD
13-Apr-16,26397.710000,0.000199,26356.843700,-0.001548,SELL
18-Apr-16,26402.960000,0.004605,26405.496315,0.000096,HOLD
20-Apr-16,26524.550000,0.008137,26540.804069,0.000613,HOLD
21-Apr-16,26740.390000,0.009698,26756.563878,0.000605,HOLD
22-Apr-16,26999.720000,0.005377,27015.925607,0.000600,HOLD
25-Apr-16,27144.910000,0.004931,27164.863072,0.000735,HOLD
26-Apr-16,27278.760000,-0.004102,27279.863011,0.000040,HOLD
27-Apr-16,27166.870000,0.001274,27147.246194,-0.000722,HOLD
28-Apr-16,27201.490000,-0.002742,27192.725841,-0.000322,HOLD
29-Apr-16,27126.900000,0.018424,27096.270858,-0.001129,SELL
02-May-16,27626.690000,0.006568,27642.034610,0.000555,HOLD
03-May-16,27808.140000,0.000253,27817.626990,0.000341,HOLD
04-May-16,27815.180000,0.004563,27806.984059,-0.000295,HOLD
05-May-16,27942.110000,-0.003780,27945.043551,0.000105,HOLD
06-May-16,27836.500000,-0.003227,27831.174693,-0.000191,HOLD
09-May-16,27746.660000,0.001476,27744.199476,-0.000089,HOLD
10-May-16,27787.620000,0.004616,27780.815079,-0.000245,HOLD
11-May-16,27915.890000,-0.007357,27931.646660,0.000564,HOLD
12-May-16,27710.520000,0.003346,27704.837266,-0.000205,HOLD
13-May-16,27803.240000,0.010506,27821.561676,0.000659,HOLD
16-May-16,28095.340000,-0.004229,28137.023935,0.001484,BUY
17-May-16,27976.520000,0.001709,27979.326697,0.000100,HOLD
18-May-16,28024.330000,0.006576,28048.194627,0.000852,HOLD
19-May-16,28208.620000,-0.005557,28219.594521,0.000389,HOLD
20-May-16,28051.860000,-0.001737,28042.297712,-0.000341,HOLD
23-May-16,28003.120000,-0.000765,28011.490106,0.000299,HOLD
24-May-16,27981.710000,-0.010157,27988.803435,0.000254,HOLD
25-May-16,27697.510000,0.000609,27683.366859,-0.000511,HOLD
26-May-16,27714.370000,0.013133,27712.093287,-0.000082,HOLD
27-May-16,28078.350000,0.003712,28116.210244,0.001348,BUY
30-May-16,28182.570000,-0.003456,28194.167852,0.000412,HOLD
31-May-16,28085.160000,-0.011048,28073.450097,-0.000417,HOLD
01-Jun-16,27774.880000,0.003050,27759.170752,-0.000566,HOLD
02-Jun-16,27859.600000,0.010510,27860.391863,0.000028,HOLD
03-Jun-16,28152.400000,-0.003118,28174.941463,0.000801,HOLD
06-Jun-16,28064.610000,-0.002111,28048.975227,-0.000557,HOLD
07-Jun-16,28005.370000,0.004216,28006.768637,0.000050,HOLD
08-Jun-16,28123.440000,-0.001651,28136.523476,0.000465,HOLD
09-Jun-16,28077.000000,-0.003257,28077.062572,0.000002,HOLD
10-Jun-16,27985.540000,0.000167,27982.697576,-0.000102,HOLD
13-Jun-16,27990.210000,0.002491,27980.209299,-0.000357,HOLD
14-Jun-16,28059.940000,-0.007984,28056.334125,-0.000129,HOLD
15-Jun-16,27835.910000,-0.001928,27829.269638,-0.000239,HOLD
16-Jun-16,27782.250000,0.004334,27783.766374,0.000055,HOLD
17-Jun-16,27902.660000,0.015782,27911.890463,0.000331,HOLD
20-Jun-16,28343.010000,0.003851,28391.214369,0.001701,BUY
21-Jun-16,28452.170000,-0.001008,28471.166789,0.000668,HOLD
22-Jun-16,28423.480000,0.003822,28427.194577,0.000131,HOLD
23-Jun-16,28532.110000,0.015628,28530.536755,-0.000055,HOLD
24-Jun-16,28978.020000,-0.001783,29004.378168,0.000910,HOLD
27-Jun-16,28926.360000,0.004111,28916.258218,-0.000349,HOLD
28-Jun-16,29045.280000,-0.008539,29043.041446,-0.000077,HOLD
29-Jun-16,28797.250000,-0.015408,28776.146371,-0.000733,HOLD
30-Jun-16,28353.540000,0.000659,28340.287047,-0.000467,HOLD
01-Jul-16,28372.230000,0.001433,28386.580214,0.000506,HOLD
04-Jul-16,28412.890000,0.006551,28432.377771,0.000686,HOLD
05-Jul-16,28599.030000,0.001240,28645.989989,0.001642,BUY
07-Jul-16,28634.500000,-0.003887,28663.438211,0.001011,BUY
08-Jul-16,28523.200000,-0.000553,28537.476822,0.000501,HOLD
11-Jul-16,28507.420000,0.009321,28533.053395,0.000899,HOLD
12-Jul-16,28773.130000,-0.003646,28791.716903,0.000646,HOLD
13-Jul-16,28668.220000,-0.013044,28662.202366,-0.000210,HOLD
14-Jul-16,28294.280000,-0.002494,28272.452099,-0.000771,HOLD
15-Jul-16,28223.700000,0.002449,28220.792998,-0.000103,HOLD
18-Jul-16,28292.810000,-0.016445,28315.589440,0.000805,HOLD
19-Jul-16,27827.530000,0.001381,27808.309576,-0.000691,HOLD
20-Jul-16,27865.960000,0.013541,27885.745018,0.000710,HOLD
21-Jul-16,28243.290000,0.003231,28275.703697,0.001148,BUY
22-Jul-16,28334.550000,-0.004008,28342.739031,0.000289,HOLD
25-Jul-16,28220.980000,-0.004067,28223.492865,0.000089,HOLD
26-Jul-16,28106.210000,-0.001604,28095.440722,-0.000383,HOLD
27-Jul-16,28061.140000,0.000755,28048.522378,-0.000450,HOLD
28-Jul-16,28082.340000,-0.015641,28081.714102,-0.000022,HOLD
29-Jul-16,27643.110000,0.001103,27614.248809,-0.001044,SELL
01-Aug-16,27673.600000,-0.005190,27666.490314,-0.000257,HOLD
02-Aug-16,27529.970000,0.018922,27525.976648,-0.000145,HOLD
03-Aug-16,28050.880000,-0.002371,28099.153653,0.001721,BUY
04-Aug-16,27984.370000,0.005198,27988.721431,0.000155,HOLD
05-Aug-16,28129.840000,-0.001872,28151.984940,0.000787,HOLD
08-Aug-16,28077.180000,0.003629,28064.905092,-0.000437,HOLD
09-Aug-16,28179.080000,-0.003111,28180.208563,0.000040,HOLD
10-Aug-16,28091.420000,-0.009074,28081.888827,-0.000339,HOLD
11-Aug-16,27836.510000,0.002852,27812.486240,-0.000863,HOLD
12-Aug-16,27915.900000,0.000917,27917.753099,0.000066,HOLD
16-Aug-16,27941.510000,-0.000404,27937.236110,-0.000153,HOLD
17-Aug-16,27930.210000,-0.001919,27939.071857,0.000317,HOLD
18-Aug-16,27876.610000,-0.012533,27890.687610,0.000505,HOLD
19-Aug-16,27527.220000,-0.003522,27530.767786,0.000129,HOLD
22-Aug-16,27430.280000,-0.005692,27446.458627,0.000590,HOLD
23-Aug-16,27274.150000,0.006777,27278.948701,0.000176,HOLD
24-Aug-16,27458.990000,0.004813,27471.872675,0.000469,HOLD
25-Aug-16,27591.140000,-0.012272,27606.494440,0.000556,HOLD
26-Aug-16,27252.530000,0.009729,27325.973349,0.002695,BUY
29-Aug-16,27517.680000,-0.025397,27537.741926,0.000729,HOLD
30-Aug-16,26818.820000,-0.019173,26797.896887,-0.000780,HOLD
31-Aug-16,26304.630000,-0.000226,26283.271314,-0.000812,HOLD
01-Sep-16,26298.690000,-0.002702,26307.004512,0.000316,HOLD
02-Sep-16,26227.620000,-0.002950,26249.921162,0.000850,HOLD
06-Sep-16,26150.240000,-0.014726,26169.756090,0.000746,HOLD
07-Sep-16,25765.140000,0.007593,25764.158228,-0.000038,HOLD
08-Sep-16,25960.780000,0.003506,25981.880539,0.000813,HOLD
09-Sep-16,26051.810000,-0.007356,26054.636942,0.000109,HOLD
12-Sep-16,25860.170000,0.017640,25854.213780,-0.000230,HOLD
14-Sep-16,26316.340000,0.001286,26337.644333,0.000810,HOLD
15-Sep-16,26350.170000,0.001664,26340.983663,-0.000349,HOLD
16-Sep-16,26394.010000,0.009805,26397.776103,0.000143,HOLD
19-Sep-16,26652.810000,-0.003485,26657.324296,0.000169,HOLD
20-Sep-16,26559.920000,-0.012397,26537.542202,-0.000843,HOLD
21-Sep-16,26230.660000,0.004515,26205.547593,-0.000957,HOLD
22-Sep-16,26349.100000,0.001657,26348.247038,-0.000032,HOLD
23-Sep-16,26392.760000,-0.005907,26403.406818,0.000403,HOLD
26-Sep-16,26236.870000,0.017434,26238.020161,0.000044,HOLD
27-Sep-16,26694.280000,0.001982,26740.973179,0.001749,BUY
28-Sep-16,26747.180000,-0.008672,26760.175493,0.000486,HOLD
29-Sep-16,26515.240000,0.006886,26513.499672,-0.000066,HOLD
30-Sep-16,26697.820000,-0.003558,26711.131354,0.000499,HOLD
03-Oct-16,26602.840000,-0.003149,26603.036266,0.000007,HOLD
04-Oct-16,26519.070000,-0.001113,26539.133514,0.000757,HOLD
05-Oct-16,26489.560000,-0.004336,26495.817486,0.000236,HOLD
06-Oct-16,26374.700000,-0.002530,26375.104492,0.000015,HOLD
07-Oct-16,26307.980000,-0.002494,26317.721528,0.000370,HOLD
10-Oct-16,26242.380000,-0.010014,26254.198424,0.000450,HOLD
13-Oct-16,25979.600000,0.002352,25981.953828,0.000091,HOLD
14-Oct-16,26040.700000,-0.008971,26064.025143,0.000896,HOLD
17-Oct-16,25807.100000,0.015745,25809.501594,0.000093,HOLD
18-Oct-16,26213.440000,-0.000105,26259.636767,0.001762,BUY
19-Oct-16,26210.680000,0.005932,26232.915378,0.000848,HOLD
20-Oct-16,26366.150000,0.009873,26352.204979,-0.000529,HOLD
21-Oct-16,26626.460000,-0.001165,26640.027072,0.000510,HOLD
24-Oct-16,26595.450000,0.001797,26570.261176,-0.000947,HOLD
25-Oct-16,26643.240000,-0.000379,26628.981885,-0.000535,HOLD
26-Oct-16,26633.130000,0.009203,26615.880759,-0.000648,HOLD
27-Oct-16,26878.240000,-0.004428,26879.194446,0.000036,HOLD
28-Oct-16,26759.230000,-0.001221,26744.745601,-0.000541,HOLD
30-Oct-16,26726.550000,0.006473,26712.609090,-0.000522,HOLD
01-Nov-16,26899.560000,0.008954,26904.282937,0.000176,HOLD
02-Nov-16,27140.410000,0.003933,27156.242968,0.000583,HOLD
03-Nov-16,27247.160000,-0.000334,27254.629718,0.000274,HOLD
04-Nov-16,27238.060000,0.001840,27227.903384,-0.000373,HOLD
07-Nov-16,27288.170000,-0.001924,27284.289635,-0.000142,HOLD
08-Nov-16,27235.660000,0.000807,27223.423397,-0.000449,HOLD
09-Nov-16,27257.640000,0.001870,27263.170812,0.000203,HOLD
10-Nov-16,27308.600000,-0.010037,27305.489513,-0.000114,HOLD
11-Nov-16,27034.500000,0.003064,27017.999170,-0.000610,HOLD
15-Nov-16,27117.340000,0.009523,27127.260670,0.000366,HOLD
16-Nov-16,27375.580000,0.012148,27392.845977,0.000631,HOLD
17-Nov-16,27708.140000,0.006291,27728.803928,0.000746,HOLD
18-Nov-16,27882.460000,-0.001180,27895.953181,0.000484,HOLD
21-Nov-16,27849.560000,-0.006952,27841.741922,-0.000281,HOLD
22-Nov-16,27655.960000,0.017561,27626.714111,-0.001057,SELL
23-Nov-16,28141.640000,0.003019,28159.051883,0.000619,HOLD
24-Nov-16,28226.610000,0.000493,28215.070123,-0.000409,HOLD
25-Nov-16,28240.520000,0.007038,28213.573225,-0.000954,HOLD
28-Nov-16,28439.280000,-0.003661,28438.754697,-0.000018,HOLD
29-Nov-16,28335.160000,-0.001597,28318.089558,-0.000602,HOLD
30-Nov-16,28289.920000,0.001406,28270.067324,-0.000702,HOLD
01-Dec-16,28329.700000,0.000161,28323.445424,-0.000221,HOLD
02-Dec-16,28334.250000,0.000613,28332.789182,-0.000052,HOLD
05-Dec-16,28351.620000,-0.000434,28333.379995,-0.000643,HOLD
06-Dec-16,28339.310000,-0.006484,28333.997547,-0.000187,HOLD
07-Dec-16,28155.560000,0.005175,28157.453152,0.000067,HOLD
08-Dec-16,28301.270000,0.005918,28305.051246,0.000134,HOLD
09-Dec-16,28468.750000,0.006773,28462.773301,-0.000210,HOLD
12-Dec-16,28661.580000,0.003489,28669.348802,0.000271,HOLD
13-Dec-16,28761.590000,0.003585,28751.089900,-0.000365,HOLD
14-Dec-16,28864.710000,0.000979,28862.633930,-0.000072,HOLD
15-Dec-16,28892.970000,-0.002772,28886.657822,-0.000218,HOLD
16-Dec-16,28812.880000,-0.002414,28793.276732,-0.000680,HOLD
19-Dec-16,28743.320000,0.008390,28724.594084,-0.000651,HOLD
20-Dec-16,28984.490000,-0.004992,28983.236884,-0.000043,HOLD
21-Dec-16,28839.790000,-0.000255,28816.455849,-0.000809,HOLD
22-Dec-16,28832.450000,0.007483,28821.999253,-0.000362,HOLD
23-Dec-16,29048.190000,-0.001674,29063.654843,0.000532,HOLD
26-Dec-16,28999.560000,-0.003366,28991.391860,-0.000282,HOLD
27-Dec-16,28901.940000,0.000941,28887.725470,-0.000492,HOLD
28-Dec-16,28929.130000,0.000591,28926.286716,-0.000098,HOLD
29-Dec-16,28946.230000,0.017149,28940.333356,-0.000204,HOLD
30-Dec-16,29442.630000,-0.001512,29450.152898,0.000256,HOLD
02-Jan-17,29398.110000,0.006386,29394.006607,-0.000140,HOLD
03-Jan-17,29585.850000,0.002134,29589.276920,0.000116,HOLD
04-Jan-17,29648.990000,-0.004393,29639.437701,-0.000322,HOLD
05-Jan-17,29518.740000,-0.001128,29505.045609,-0.000464,HOLD
06-Jan-17,29485.450000,-0.010777,29472.013765,-0.000456,HOLD
09-Jan-17,29167.680000,0.005639,29148.551807,-0.000656,HOLD
10-Jan-17,29332.160000,0.003042,29346.677691,0.000495,HOLD
11-Jan-17,29421.400000,-0.006262,29446.497355,0.000853,HOLD
12-Jan-17,29237.150000,0.005896,29239.297159,0.000073,HOLD
13-Jan-17,29409.520000,0.004145,29433.085074,0.000801,HOLD
16-Jan-17,29531.430000,0.003928,29548.358861,0.000573,HOLD
17-Jan-17,29647.420000,-0.000908,29664.151427,0.000564,HOLD
18-Jan-17,29620.500000,0.009781,29619.235479,-0.000043,HOLD
19-Jan-17,29910.220000,0.002140,29919.522981,0.000311,HOLD
20-Jan-17,29974.240000,-0.001565,29955.733832,-0.000617,HOLD
23-Jan-17,29927.340000,-0.007376,29912.685915,-0.000490,HOLD
24-Jan-17,29706.610000,-0.004405,29694.561475,-0.000406,HOLD
25-Jan-17,29575.740000,0.007189,29571.107573,-0.000157,HOLD
27-Jan-17,29788.350000,-0.004863,29803.747505,0.000517,HOLD
30-Jan-17,29643.480000,-0.006141,29636.970733,-0.000220,HOLD
31-Jan-17,29461.450000,-0.001622,29465.275867,0.000130,HOLD
01-Feb-17,29413.660000,-0.003215,29423.577865,0.000337,HOLD
02-Feb-17,29319.100000,0.000596,29347.804712,0.000979,HOLD
03-Feb-17,29336.570000,0.002925,29345.244627,0.000296,HOLD
06-Feb-17,29422.390000,-0.001940,29440.658005,0.000621,HOLD
07-Feb-17,29365.300000,0.009894,29356.065433,-0.000314,HOLD
08-Feb-17,29655.840000,0.009691,29682.066916,0.000884,HOLD
09-Feb-17,29943.240000,0.006349,29955.834164,0.000421,HOLD
10-Feb-17,30133.350000,-0.003438,30136.967838,0.000120,HOLD
13-Feb-17,30029.740000,-0.003708,30014.282791,-0.000515,HOLD
14-Feb-17,29918.400000,0.000093,29895.051782,-0.000780,HOLD
15-Feb-17,29921.180000,-0.000882,29904.418035,-0.000560,HOLD
16-Feb-17,29894.800000,0.007741,29887.820567,-0.000233,HOLD
17-Feb-17,30126.210000,-0.008876,30135.301354,0.000302,HOLD
20-Feb-17,29858.800000,0.002256,29853.918851,-0.000163,HOLD
21-Feb-17,29926.150000,0.000237,29948.002353,0.000730,HOLD
22-Feb-17,29933.250000,0.010521,29951.449493,0.000608,HOLD
23-Feb-17,30248.170000,0.000093,30287.593888,0.001303,BUY
27-Feb-17,30250.980000,-0.002077,30261.353584,0.000343,HOLD
28-Feb-17,30188.150000,0.004438,30185.005795,-0.000104,HOLD
01-Mar-17,30322.120000,0.008590,30332.549308,0.000344,HOLD
02-Mar-17,30582.600000,0.002491,30601.035872,0.000603,HOLD
03-Mar-17,30658.770000,-0.007306,30661.759337,0.000098,HOLD
06-Mar-17,30434.790000,0.000990,30438.371991,0.000118,HOLD
07-Mar-17,30464.920000,0.003481,30471.895935,0.000229,HOLD
08-Mar-17,30570.970000,-0.006729,30577.797502,0.000223,HOLD
09-Mar-17,30365.250000,-0.002095,30367.661291,0.000079,HOLD
10-Mar-17,30301.640000,0.014798,30310.294693,0.000286,HOLD
14-Mar-17,30750.030000,0.009046,30796.010561,0.001495,BUY
15-Mar-17,31028.210000,0.002613,31066.174821,0.001224,BUY
16-Mar-17,31109.280000,0.001611,31137.053027,0.000893,HOLD
17-Mar-17,31159.400000,-0.000436,31168.187809,0.000282,HOLD
20-Mar-17,31145.800000,-0.000264,31138.514336,-0.000234,HOLD
21-Mar-17,31137.590000,0.004358,31137.384895,-0.000007,HOLD
22-Mar-17,31273.290000,0.001158,31279.905750,0.000212,HOLD
23-Mar-17,31309.490000,-0.003799,31308.044311,-0.000046,HOLD
24-Mar-17,31190.560000,0.002588,31181.262959,-0.000298,HOLD
27-Mar-17,31271.280000,-0.001852,31284.602455,0.000426,HOLD
28-Mar-17,31213.360000,0.001560,31222.936939,0.000307,HOLD
29-Mar-17,31262.060000,-0.005321,31272.906617,0.000347,HOLD
30-Mar-17,31095.700000,0.000251,31094.511211,-0.000038,HOLD
31-Mar-17,31103.490000,0.001685,31126.310611,0.000734,HOLD
03-Apr-17,31155.910000,-0.002574,31161.777424,0.000188,HOLD
05-Apr-17,31075.730000,-0.000622,31073.810637,-0.000062,HOLD
06-Apr-17,31056.400000,0.008216,31056.594835,0.000006,HOLD
07-Apr-17,31311.570000,-0.000448,31331.298338,0.000630,HOLD
10-Apr-17,31297.530000,-0.000444,31291.901704,-0.000180,HOLD
11-Apr-17,31283.640000,0.000227,31277.074576,-0.000210,HOLD
12-Apr-17,31290.740000,-0.004875,31298.562370,0.000250,HOLD
13-Apr-17,31138.210000,-0.005779,31120.838704,-0.000558,HOLD
17-Apr-17,30958.250000,-0.004003,30944.912274,-0.000431,HOLD
18-Apr-17,30834.320000,0.000752,30824.648654,-0.000314,HOLD
19-Apr-17,30857.520000,0.002077,30872.948568,0.000500,HOLD
20-Apr-17,30921.610000,0.009702,30930.404127,0.000284,HOLD
21-Apr-17,31221.620000,-0.000379,31232.530509,0.000349,HOLD
24-Apr-17,31209.790000,0.001146,31210.125447,0.000011,HOLD
25-Apr-17,31245.560000,0.003962,31242.255331,-0.000106,HOLD
26-Apr-17,31369.340000,-0.000278,31379.147954,0.000313,HOLD
27-Apr-17,31360.630000,0.011320,31352.182276,-0.000269,HOLD
28-Apr-17,31715.640000,0.000992,31726.061277,0.000329,HOLD
02-May-17,31747.090000,0.001818,31744.030903,-0.000096,HOLD
03-May-17,31804.820000,0.007312,31797.935326,-0.000216,HOLD
04-May-17,32037.380000,-0.000519,32051.214637,0.000432,HOLD
05-May-17,32020.750000,0.001687,32009.320099,-0.000357,HOLD
08-May-17,32074.780000,-0.011342,32080.811682,0.000188,HOLD
09-May-17,31710.990000,0.007706,31715.179785,0.000132,HOLD
10-May-17,31955.350000,-0.001594,31965.567718,0.000320,HOLD
11-May-17,31904.400000,0.003902,31909.566157,0.000162,HOLD
12-May-17,32028.890000,0.006775,32032.732415,0.000120,HOLD
15-May-17,32245.870000,-0.000546,32278.233480,0.001004,BUY
16-May-17,32228.270000,0.004784,32236.761392,0.000263,HOLD
17-May-17,32382.460000,0.000026,32404.718884,0.000687,HOLD
18-May-17,32383.300000,-0.002267,32394.972153,0.000360,HOLD
19-May-17,32309.880000,0.006347,32293.634907,-0.000503,HOLD
22-May-17,32514.940000,0.001852,32520.182533,0.000161,HOLD
23-May-17,32575.170000,-0.003022,32575.770762,0.000018,HOLD
24-May-17,32476.740000,-0.007355,32471.226001,-0.000170,HOLD
25-May-17,32237.880000,0.002715,32228.282287,-0.000298,HOLD
26-May-17,32325.410000,-0.001601,32342.327879,0.000523,HOLD
29-May-17,32273.670000,-0.008040,32278.886851,0.000162,HOLD
30-May-17,32014.190000,-0.006758,32004.952097,-0.000289,HOLD
31-May-17,31797.840000,-0.008381,31802.130752,0.000135,HOLD
01-Jun-17,31531.330000,-0.010077,31526.582879,-0.000151,HOLD
02-Jun-17,31213.590000,0.007543,31218.586103,0.000160,HOLD
05-Jun-17,31449.030000,0.010234,31487.177239,0.001213,BUY
06-Jun-17,31770.890000,0.000773,31794.467655,0.000742,HOLD
07-Jun-17,31795.460000,-0.008516,31793.974978,-0.000047,HOLD
08-Jun-17,31524.680000,-0.008432,31502.698229,-0.000697,HOLD
09-Jun-17,31258.850000,0.001056,31237.326721,-0.000689,HOLD
12-Jun-17,31291.850000,0.008825,31284.019615,-0.000250,HOLD
13-Jun-17,31568.010000,0.000889,31572.563557,0.000144,HOLD
14-Jun-17,31596.060000,0.004898,31579.978899,-0.000509,HOLD
15-Jun-17,31750.820000,-0.011415,31745.080810,-0.000181,HOLD
16-Jun-17,31388.390000,0.008222,31368.486283,-0.000634,HOLD
19-Jun-17,31646.460000,0.002655,31665.069461,0.000588,HOLD
20-Jun-17,31730.490000,0.005097,31726.297468,-0.000132,HOLD
21-Jun-17,31892.230000,-0.005957,31897.819045,0.000175,HOLD
22-Jun-17,31702.250000,0.003385,31675.373603,-0.000848,HOLD
23-Jun-17,31809.550000,-0.004639,31812.801576,0.000102,HOLD
27-Jun-17,31661.970000,0.000024,31659.009941,-0.000093,HOLD
28-Jun-17,31662.740000,0.000783,31670.504712,0.000245,HOLD
29-Jun-17,31687.520000,0.006142,31698.250723,0.000339,HOLD
30-Jun-17,31882.160000,0.008673,31905.277030,0.000725,HOLD
03-Jul-17,32158.660000,0.000863,32178.702389,0.000623,HOLD
04-Jul-17,32186.410000,0.001725,32209.428007,0.000715,HOLD
05-Jul-17,32241.930000,0.000952,32248.098013,0.000191,HOLD
06-Jul-17,32272.610000,0.004684,32284.380316,0.000365,HOLD
07-Jul-17,32423.760000,-0.000660,32441.103910,0.000535,HOLD
10-Jul-17,32402.370000,-0.000057,32396.339968,-0.000186,HOLD
11-Jul-17,32400.510000,-0.000940,32403.923429,0.000105,HOLD
12-Jul-17,32370.040000,-0.013828,32367.379885,-0.000082,HOLD
13-Jul-17,31922.440000,-0.009267,31912.554265,-0.000310,HOLD
